,size,isdir,mode,mtime,ctime,atime,exe,file_full,filename,method
line1,57480347,FALSE,666,2/19/2019 15:17,3/18/2019 11:25,3/18/2019 11:25,no,02_01/20190219_001.raw,20190219_001,20190204_PAL_filtrate_DDA.meth
line2,78542511,FALSE,666,2/19/2019 15:37,3/18/2019 11:25,3/18/2019 11:25,no,02_01/20190219_002.raw,20190219_002,20190204_PAL_filtrate_DIA.meth
line3,58810360,FALSE,666,2/19/2019 15:57,3/18/2019 11:25,3/18/2019 11:25,no,02_01/20190219_003.raw,20190219_003,20190204_PAL_filtrate_DDA.meth
line4,77654214,FALSE,666,2/19/2019 16:17,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_004.raw,20190219_004,20190204_PAL_filtrate_DIA.meth
line5,59058968,FALSE,666,2/19/2019 16:37,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_005.raw,20190219_005,20190204_PAL_filtrate_DDA.meth
line6,78810932,FALSE,666,2/19/2019 16:57,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_006.raw,20190219_006,20190204_PAL_filtrate_DIA.meth
line7,58952335,FALSE,666,2/19/2019 17:17,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_007.raw,20190219_007,20190204_PAL_filtrate_DDA.meth
line8,78640807,FALSE,666,2/19/2019 17:37,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_008.raw,20190219_008,20190204_PAL_filtrate_DIA.meth
line9,57380924,FALSE,666,2/19/2019 17:58,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_009.raw,20190219_009,20190204_PAL_blank_spike_DDA.meth
line10,73784179,FALSE,666,2/19/2019 18:18,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_010.raw,20190219_010,20190204_PAL_filtrate_DIA.meth
line11,58009349,FALSE,666,2/19/2019 18:39,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_011.raw,20190219_011,20190204_PAL_filtrate_DDA.meth
line12,78074059,FALSE,666,2/19/2019 18:59,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_012.raw,20190219_012,20190204_PAL_filtrate_DIA.meth
line13,58145025,FALSE,666,2/19/2019 19:19,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_013.raw,20190219_013,20190204_PAL_filtrate_DDA.meth
line14,77267326,FALSE,666,2/19/2019 19:39,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_014.raw,20190219_014,20190204_PAL_filtrate_DIA.meth
line15,58513623,FALSE,666,2/19/2019 19:59,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_015.raw,20190219_015,20190204_PAL_filtrate_DDA.meth
line16,77496929,FALSE,666,2/19/2019 20:19,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_016.raw,20190219_016,20190204_PAL_filtrate_DIA.meth
line17,57936910,FALSE,666,2/19/2019 20:39,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_017.raw,20190219_017,20190204_PAL_filtrate_DDA.meth
line18,77741585,FALSE,666,2/19/2019 20:59,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_018.raw,20190219_018,20190204_PAL_filtrate_DIA.meth
line19,58273945,FALSE,666,2/19/2019 21:19,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_019.raw,20190219_019,20190204_PAL_filtrate_DDA.meth
line20,76825381,FALSE,666,2/19/2019 21:40,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_020.raw,20190219_020,20190204_PAL_filtrate_DIA.meth
line21,58928734,FALSE,666,2/19/2019 22:00,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_021.raw,20190219_021,20190204_PAL_filtrate_DDA.meth
line22,78092195,FALSE,666,2/19/2019 22:20,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_022.raw,20190219_022,20190204_PAL_filtrate_DIA.meth
line23,58828644,FALSE,666,2/19/2019 22:40,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_023.raw,20190219_023,20190204_PAL_filtrate_DDA.meth
line24,78066084,FALSE,666,2/19/2019 23:00,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_024.raw,20190219_024,20190204_PAL_filtrate_DIA.meth
line25,58624118,FALSE,666,2/19/2019 23:20,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_025.raw,20190219_025,20190204_PAL_filtrate_DDA.meth
line26,77847917,FALSE,666,2/19/2019 23:40,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_026.raw,20190219_026,20190204_PAL_filtrate_DIA.meth
line27,58338210,FALSE,666,2/20/2019 0:00,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_027.raw,20190219_027,20190204_PAL_filtrate_DDA.meth
line28,60224344,FALSE,666,2/20/2019 0:21,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_028.raw,20190219_028,20190204_PAL_blank_DDA.meth
line29,57986393,FALSE,666,2/20/2019 0:41,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_029.raw,20190219_029,20190204_PAL_filtrate_DDA.meth
line30,78683462,FALSE,666,2/20/2019 1:01,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_030.raw,20190219_030,20190204_PAL_filtrate_DIA.meth
line31,58739980,FALSE,666,2/20/2019 1:21,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_031.raw,20190219_031,20190204_PAL_filtrate_DDA.meth
line32,79015327,FALSE,666,2/20/2019 1:41,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_032.raw,20190219_032,20190204_PAL_filtrate_DIA.meth
line33,58504142,FALSE,666,2/20/2019 2:01,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_033.raw,20190219_033,20190204_PAL_filtrate_DDA.meth
line34,79445336,FALSE,666,2/20/2019 2:21,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_034.raw,20190219_034,20190204_PAL_filtrate_DIA.meth
line35,59059026,FALSE,666,2/20/2019 2:41,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_035.raw,20190219_035,20190204_PAL_filtrate_DDA.meth
line36,78982884,FALSE,666,2/20/2019 3:02,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_036.raw,20190219_036,20190204_PAL_filtrate_DIA.meth
line37,58513812,FALSE,666,2/20/2019 3:22,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_037.raw,20190219_037,20190204_PAL_filtrate_DDA.meth
line38,77983964,FALSE,666,2/20/2019 3:42,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_038.raw,20190219_038,20190204_PAL_filtrate_DIA.meth
line39,57907097,FALSE,666,2/20/2019 4:02,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_039.raw,20190219_039,20190204_PAL_filtrate_DDA.meth
line40,77975995,FALSE,666,2/20/2019 4:22,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_040.raw,20190219_040,20190204_PAL_filtrate_DIA.meth
line41,57120815,FALSE,666,2/20/2019 4:42,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_041.raw,20190219_041,20190204_PAL_filtrate_DDA.meth
line42,77743196,FALSE,666,2/20/2019 5:02,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_042.raw,20190219_042,20190204_PAL_filtrate_DIA.meth
line43,56969921,FALSE,666,2/20/2019 5:22,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_043.raw,20190219_043,20190204_PAL_filtrate_DDA.meth
line44,76500964,FALSE,666,2/20/2019 5:42,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_044.raw,20190219_044,20190204_PAL_filtrate_DIA.meth
line45,56660473,FALSE,666,2/20/2019 6:03,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_045.raw,20190219_045,20190204_PAL_blank_spike_DDA.meth
line46,74938703,FALSE,666,2/20/2019 6:23,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_046.raw,20190219_046,20190204_PAL_filtrate_DIA.meth
line47,57208323,FALSE,666,2/20/2019 6:44,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_047.raw,20190219_047,20190204_PAL_filtrate_DDA.meth
line48,75908270,FALSE,666,2/20/2019 7:04,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_048.raw,20190219_048,20190204_PAL_filtrate_DIA.meth
line49,56010711,FALSE,666,2/20/2019 7:24,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_049.raw,20190219_049,20190204_PAL_filtrate_DDA.meth
line50,75946625,FALSE,666,2/20/2019 7:44,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_050.raw,20190219_050,20190204_PAL_filtrate_DIA.meth
line51,57370230,FALSE,666,2/20/2019 8:04,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_051.raw,20190219_051,20190204_PAL_filtrate_DDA.meth
line52,77078471,FALSE,666,2/20/2019 8:24,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_052.raw,20190219_052,20190204_PAL_filtrate_DIA.meth
line53,56295283,FALSE,666,2/20/2019 8:44,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_053.raw,20190219_053,20190204_PAL_filtrate_DDA.meth
line54,75007907,FALSE,666,2/20/2019 9:04,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_054.raw,20190219_054,20190204_PAL_filtrate_DIA.meth
line55,56016675,FALSE,666,2/20/2019 9:24,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_055.raw,20190219_055,20190204_PAL_filtrate_DDA.meth
line56,75899482,FALSE,666,2/20/2019 9:45,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_056.raw,20190219_056,20190204_PAL_filtrate_DIA.meth
line57,54768212,FALSE,666,2/20/2019 10:05,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_057.raw,20190219_057,20190204_PAL_filtrate_DDA.meth
line58,77431006,FALSE,666,2/20/2019 10:25,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_058.raw,20190219_058,20190204_PAL_filtrate_DIA.meth
